date,text,true_topic,text_nouns,topic
2024-01-05,금리 인상과 환율 변동으로 국내 증시가 큰 폭으로 출렁였다. 반도체 수출 회복 기대감에 기업 실적 전망이 개선됐다.,경제,금리 인상 환율 변동 증시 반도체 수출 회복 기대감 실적 전망,0
2024-01-12,보건 당국은 독감 환자 증가에 따라 고위험군 백신 접종을 권고했다. 대학병원 연구팀은 새로운 항암 치료제의 임상 결과를 공개했다.,건강,보건 독감 환자 증가 고위험군 백신 접종 권고 대학 병원 항암 치료제 임상,1
2024-01-18,반도체 수출 회복 기대감에 기업 실적 전망이 개선됐다. 소비자 물가 상승률이 둔화되며 기준금리 동결 가능성이 커졌다.,경제,반도체 수출 회복 기대감 실적 전망 소비자 물가 상승 둔화 금리 동결 가능,0
2024-02-02,소비자 물가 상승률이 둔화되며 기준금리 동결 가능성이 커졌다. 대기업의 설비 투자가 확대되면서 고용 지표가 개선됐다.,경제,소비자 물가 상승 둔화 금리 동결 가능 설비 투자 고용 지표,0
2024-02-08,국회는 민생 법안을 두고 여야 협상을 이어갔지만 합의에 이르지 못했다. 정부는 지방 재정 지원 확대와 행정 개편 방안을 발표했다.,정치,국회 민생 법안 여야 협상 합의 정부 지방 재정 지원 행정 방안,2
2024-02-15,대학병원 연구팀은 새로운 항암 치료제의 임상 결과를 공개했다. 응급실 과밀 문제를 줄이기 위해 지역 의료 전달 체계가 개편된다.,건강,대학 병원 항암 치료제 임상 응급실 과밀 지역 의료 전달 체계,1
2024-02-20,대기업의 설비 투자가 확대되면서 고용 지표가 개선됐다. 국제 유가 하락으로 항공과 물류 업종의 비용 부담이 줄었다.,경제,설비 투자 고용 지표 국제 유가 하락 항공 물류 업종 비용 부담,0
2024-03-01,정부는 지방 재정 지원 확대와 행정 개편 방안을 발표했다. 대통령은 국무회의에서 규제 완화와 산업 경쟁력 강화를 주문했다.,정치,정부 지방 재정 지원 행정 방안 대통령 국무 회의 규제 완화 산업 경쟁력 주문,2
2024-03-04,국제 유가 하락으로 항공과 물류 업종의 비용 부담이 줄었다. 금리 인상과 환율 변동으로 국내 증시가 큰 폭으로 출렁였다.,경제,국제 유가 하락 항공 물류 업종 비용 부담 금리 인상 환율 변동 증시,0
2024-03-10,프로야구 선발 투수가 무실점 호투로 팀의 연승을 이끌었다. 축구 대표팀은 후반 추가 시간 결승골로 극적인 승리를 거뒀다.,스포츠,프로 야구 선발 투수 실점 호투 연승 축구 대표 후반 추가 시간 결승 승리,3
2024-03-18,금리 인상과 환율 변동으로 국내 증시가 큰 폭으로 출렁였다. 반도체 수출 회복 기대감에 기업 실적 전망이 개선됐다.,경제,금리 인상 환율 변동 증시 반도체 수출 회복 기대감 실적 전망,0
2024-03-22,대통령은 국무회의에서 규제 완화와 산업 경쟁력 강화를 주문했다. 선거관리위원회는 후보자 토론 일정과 투표 절차를 공지했다.,정치,대통령 국무 회의 규제 완화 산업 경쟁력 주문 선거 관리 위원회 후보자 토론 일정 투표 공지,2
2024-04-03,반도체 수출 회복 기대감에 기업 실적 전망이 개선됐다. 소비자 물가 상승률이 둔화되며 기준금리 동결 가능성이 커졌다.,경제,반도체 수출 회복 기대감 실적 전망 소비자 물가 상승 둔화 금리 동결 가능,0
2024-04-05,선거관리위원회는 후보자 토론 일정과 투표 절차를 공지했다. 여야 지도부는 예산안 처리를 두고 막판 협상에 들어갔다.,정치,선거 관리 위원회 후보자 토론 일정 투표 공지 여야 지도부 예산안 처리 막판 협상,2
2024-04-12,여야 지도부는 예산안 처리를 두고 막판 협상에 들어갔다. 국회는 민생 법안을 두고 여야 협상을 이어갔지만 합의에 이르지 못했다.,정치,여야 지도부 예산안 처리 막판 협상 국회 민생 법안 여야 협상 합의,2
2024-04-18,생성형 인공지능 서비스가 문서 작성과 고객 상담 업무에 도입됐다. 국내 연구진이 초거대 언어모델의 추론 속도를 개선하는 기법을 발표했다.,기술,생성 인공 지능 문서 작성 고객 상담 도입 연구진 거대 언어 모델 추론 속도 기법,4
2024-04-22,소비자 물가 상승률이 둔화되며 기준금리 동결 가능성이 커졌다. 대기업의 설비 투자가 확대되면서 고용 지표가 개선됐다.,경제,소비자 물가 상승 둔화 금리 동결 가능 설비 투자 고용 지표,0
2024-04-26,국회는 민생 법안을 두고 여야 협상을 이어갔지만 합의에 이르지 못했다. 정부는 지방 재정 지원 확대와 행정 개편 방안을 발표했다.,정치,국회 민생 법안 여야 협상 합의 정부 지방 재정 지원 행정 방안,2
2024-05-01,축구 대표팀은 후반 추가 시간 결승골로 극적인 승리를 거뒀다. 농구 챔피언결정전에서 주전 가드가 득점과 도움을 모두 책임졌다.,스포츠,축구 대표 후반 추가 시간 결승 승리 농구 챔피언 결정전 주전 가드 득점 도움,3
2024-05-08,정부는 지방 재정 지원 확대와 행정 개편 방안을 발표했다. 대통령은 국무회의에서 규제 완화와 산업 경쟁력 강화를 주문했다.,정치,정부 지방 재정 지원 행정 방안 대통령 국무 회의 규제 완화 산업 경쟁력 주문,2
2024-05-14,국내 연구진이 초거대 언어모델의 추론 속도를 개선하는 기법을 발표했다. 클라우드 기업들은 데이터센터 전력 효율을 높이기 위한 칩을 개발하고 있다.,기술,연구진 거대 언어 모델 추론 속도 기법 클라우드 데이터 센터 전력 효율 개발,4
2024-05-22,농구 챔피언결정전에서 주전 가드가 득점과 도움을 모두 책임졌다. 감독은 젊은 선수들의 수비 집중력이 승부를 갈랐다고 평가했다.,스포츠,농구 챔피언 결정전 주전 가드 득점 도움 감독 선수 수비 집중력 승부 평가,3
2024-05-30,응급실 과밀 문제를 줄이기 위해 지역 의료 전달 체계가 개편된다. 전문가들은 수면 부족과 스트레스가 심혈관 질환 위험을 높인다고 설명했다.,건강,응급실 과밀 지역 의료 전달 체계 수면 부족 스트레스 심혈관 질환 위험 설명,1
2024-06-03,대통령은 국무회의에서 규제 완화와 산업 경쟁력 강화를 주문했다. 선거관리위원회는 후보자 토론 일정과 투표 절차를 공지했다.,정치,대통령 국무 회의 규제 완화 산업 경쟁력 주문 선거 관리 위원회 후보자 토론 일정 투표 공지,2
2024-06-08,감독은 젊은 선수들의 수비 집중력이 승부를 갈랐다고 평가했다. 리그 선두 팀은 원정 경기 승리로 플레이오프 진출을 확정했다.,스포츠,감독 선수 수비 집중력 승부 평가 리그 선두 원정 경기 승리 플레이오프 진출 확정,3
2024-06-10,대기업의 설비 투자가 확대되면서 고용 지표가 개선됐다. 국제 유가 하락으로 항공과 물류 업종의 비용 부담이 줄었다.,경제,설비 투자 고용 지표 국제 유가 하락 항공 물류 업종 비용 부담,0
2024-06-20,클라우드 기업들은 데이터센터 전력 효율을 높이기 위한 칩을 개발하고 있다. 스마트폰 신제품은 온디바이스 AI 기능과 카메라 성능을 강조했다.,기술,클라우드 데이터 센터 전력 효율 개발 스마트폰 제품 디바이스 AI 기능 카메라 성능 강조,4
2024-07-02,리그 선두 팀은 원정 경기 승리로 플레이오프 진출을 확정했다. 프로야구 선발 투수가 무실점 호투로 팀의 연승을 이끌었다.,스포츠,리그 선두 원정 경기 승리 플레이오프 진출 확정 프로 야구 선발 투수 실점 호투 연승,3
2024-07-09,스마트폰 신제품은 온디바이스 AI 기능과 카메라 성능을 강조했다. 자율주행 소프트웨어 업데이트 이후 도심 주행 안정성이 향상됐다.,기술,스마트폰 제품 디바이스 AI 기능 카메라 성능 강조 자율 주행 소프트웨어 업데이트 이후 도심 주행 안정 향상,4
2024-07-18,프로야구 선발 투수가 무실점 호투로 팀의 연승을 이끌었다. 축구 대표팀은 후반 추가 시간 결승골로 극적인 승리를 거뒀다.,스포츠,프로 야구 선발 투수 실점 호투 연승 축구 대표 후반 추가 시간 결승 승리,3
2024-07-25,전문가들은 수면 부족과 스트레스가 심혈관 질환 위험을 높인다고 설명했다. 식약처는 신약 허가 심사 절차와 안전성 검증 기준을 강화했다.,건강,수면 부족 스트레스 심혈관 질환 위험 설명 식약처 신약 허가 심사 안전 검증,1
2024-08-04,축구 대표팀은 후반 추가 시간 결승골로 극적인 승리를 거뒀다. 농구 챔피언결정전에서 주전 가드가 득점과 도움을 모두 책임졌다.,스포츠,축구 대표 후반 추가 시간 결승 승리 농구 챔피언 결정전 주전 가드 득점 도움,3
2024-08-11,자율주행 소프트웨어 업데이트 이후 도심 주행 안정성이 향상됐다. 생성형 인공지능 서비스가 문서 작성과 고객 상담 업무에 도입됐다.,기술,자율 주행 소프트웨어 업데이트 이후 도심 주행 안정 향상 생성 인공 지능 문서 작성 고객 상담 도입,4
2024-08-15,국제 유가 하락으로 항공과 물류 업종의 비용 부담이 줄었다. 금리 인상과 환율 변동으로 국내 증시가 큰 폭으로 출렁였다.,경제,국제 유가 하락 항공 물류 업종 비용 부담 금리 인상 환율 변동 증시,0
2024-08-26,농구 챔피언결정전에서 주전 가드가 득점과 도움을 모두 책임졌다. 감독은 젊은 선수들의 수비 집중력이 승부를 갈랐다고 평가했다.,스포츠,농구 챔피언 결정전 주전 가드 득점 도움 감독 선수 수비 집중력 승부 평가,3
2024-09-01,생성형 인공지능 서비스가 문서 작성과 고객 상담 업무에 도입됐다. 국내 연구진이 초거대 언어모델의 추론 속도를 개선하는 기법을 발표했다.,기술,생성 인공 지능 문서 작성 고객 상담 도입 연구진 거대 언어 모델 추론 속도 기법,4
2024-09-12,선거관리위원회는 후보자 토론 일정과 투표 절차를 공지했다. 여야 지도부는 예산안 처리를 두고 막판 협상에 들어갔다.,정치,선거 관리 위원회 후보자 토론 일정 투표 공지 여야 지도부 예산안 처리 막판 협상,2
2024-09-15,감독은 젊은 선수들의 수비 집중력이 승부를 갈랐다고 평가했다. 리그 선두 팀은 원정 경기 승리로 플레이오프 진출을 확정했다.,스포츠,감독 선수 수비 집중력 승부 평가 리그 선두 원정 경기 승리 플레이오프 진출 확정,3
2024-09-20,식약처는 신약 허가 심사 절차와 안전성 검증 기준을 강화했다. 보건 당국은 독감 환자 증가에 따라 고위험군 백신 접종을 권고했다.,건강,식약처 신약 허가 심사 안전 검증 보건 독감 환자 증가 고위험군 백신 접종 권고,1
2024-09-24,국내 연구진이 초거대 언어모델의 추론 속도를 개선하는 기법을 발표했다. 클라우드 기업들은 데이터센터 전력 효율을 높이기 위한 칩을 개발하고 있다.,기술,연구진 거대 언어 모델 추론 속도 기법 클라우드 데이터 센터 전력 효율 개발,4
2024-10-03,리그 선두 팀은 원정 경기 승리로 플레이오프 진출을 확정했다. 프로야구 선발 투수가 무실점 호투로 팀의 연승을 이끌었다.,스포츠,리그 선두 원정 경기 승리 플레이오프 진출 확정 프로 야구 선발 투수 실점 호투 연승,3
2024-10-08,금리 인상과 환율 변동으로 국내 증시가 큰 폭으로 출렁였다. 반도체 수출 회복 기대감에 기업 실적 전망이 개선됐다.,경제,금리 인상 환율 변동 증시 반도체 수출 회복 기대감 실적 전망,0
2024-10-16,클라우드 기업들은 데이터센터 전력 효율을 높이기 위한 칩을 개발하고 있다. 스마트폰 신제품은 온디바이스 AI 기능과 카메라 성능을 강조했다.,기술,클라우드 데이터 센터 전력 효율 개발 스마트폰 제품 디바이스 AI 기능 카메라 성능 강조,4
2024-10-18,보건 당국은 독감 환자 증가에 따라 고위험군 백신 접종을 권고했다. 대학병원 연구팀은 새로운 항암 치료제의 임상 결과를 공개했다.,건강,보건 독감 환자 증가 고위험군 백신 접종 권고 대학 병원 항암 치료제 임상,1
2024-11-05,프로야구 선발 투수가 무실점 호투로 팀의 연승을 이끌었다. 축구 대표팀은 후반 추가 시간 결승골로 극적인 승리를 거뒀다.,스포츠,프로 야구 선발 투수 실점 호투 연승 축구 대표 후반 추가 시간 결승 승리,3
2024-11-07,스마트폰 신제품은 온디바이스 AI 기능과 카메라 성능을 강조했다. 자율주행 소프트웨어 업데이트 이후 도심 주행 안정성이 향상됐다.,기술,스마트폰 제품 디바이스 AI 기능 카메라 성능 강조 자율 주행 소프트웨어 업데이트 이후 도심 주행 안정 향상,4
2024-11-12,대학병원 연구팀은 새로운 항암 치료제의 임상 결과를 공개했다. 응급실 과밀 문제를 줄이기 위해 지역 의료 전달 체계가 개편된다.,건강,대학 병원 항암 치료제 임상 응급실 과밀 지역 의료 전달 체계,1
2024-11-20,여야 지도부는 예산안 처리를 두고 막판 협상에 들어갔다. 국회는 민생 법안을 두고 여야 협상을 이어갔지만 합의에 이르지 못했다.,정치,여야 지도부 예산안 처리 막판 협상 국회 민생 법안 여야 협상 합의,2
2024-12-01,응급실 과밀 문제를 줄이기 위해 지역 의료 전달 체계가 개편된다. 전문가들은 수면 부족과 스트레스가 심혈관 질환 위험을 높인다고 설명했다.,건강,응급실 과밀 지역 의료 전달 체계 수면 부족 스트레스 심혈관 질환 위험 설명,1
2024-12-02,자율주행 소프트웨어 업데이트 이후 도심 주행 안정성이 향상됐다. 생성형 인공지능 서비스가 문서 작성과 고객 상담 업무에 도입됐다.,기술,자율 주행 소프트웨어 업데이트 이후 도심 주행 안정 향상 생성 인공 지능 문서 작성 고객 상담 도입,4
2024-12-20,전문가들은 수면 부족과 스트레스가 심혈관 질환 위험을 높인다고 설명했다. 식약처는 신약 허가 심사 절차와 안전성 검증 기준을 강화했다.,건강,수면 부족 스트레스 심혈관 질환 위험 설명 식약처 신약 허가 심사 안전 검증,1
2025-01-09,식약처는 신약 허가 심사 절차와 안전성 검증 기준을 강화했다. 보건 당국은 독감 환자 증가에 따라 고위험군 백신 접종을 권고했다.,건강,식약처 신약 허가 심사 안전 검증 보건 독감 환자 증가 고위험군 백신 접종 권고,1
2025-01-12,반도체 수출 회복 기대감에 기업 실적 전망이 개선됐다. 소비자 물가 상승률이 둔화되며 기준금리 동결 가능성이 커졌다.,경제,반도체 수출 회복 기대감 실적 전망 소비자 물가 상승 둔화 금리 동결 가능,0
2025-01-18,국회는 민생 법안을 두고 여야 협상을 이어갔지만 합의에 이르지 못했다. 정부는 지방 재정 지원 확대와 행정 개편 방안을 발표했다.,정치,국회 민생 법안 여야 협상 합의 정부 지방 재정 지원 행정 방안,2
2025-01-22,생성형 인공지능 서비스가 문서 작성과 고객 상담 업무에 도입됐다. 국내 연구진이 초거대 언어모델의 추론 속도를 개선하는 기법을 발표했다.,기술,생성 인공 지능 문서 작성 고객 상담 도입 연구진 거대 언어 모델 추론 속도 기법,4
2025-02-02,축구 대표팀은 후반 추가 시간 결승골로 극적인 승리를 거뒀다. 농구 챔피언결정전에서 주전 가드가 득점과 도움을 모두 책임졌다.,스포츠,축구 대표 후반 추가 시간 결승 승리 농구 챔피언 결정전 주전 가드 득점 도움,3
2025-02-11,보건 당국은 독감 환자 증가에 따라 고위험군 백신 접종을 권고했다. 대학병원 연구팀은 새로운 항암 치료제의 임상 결과를 공개했다.,건강,보건 독감 환자 증가 고위험군 백신 접종 권고 대학 병원 항암 치료제 임상,1
2025-02-14,국내 연구진이 초거대 언어모델의 추론 속도를 개선하는 기법을 발표했다. 클라우드 기업들은 데이터센터 전력 효율을 높이기 위한 칩을 개발하고 있다.,기술,연구진 거대 언어 모델 추론 속도 기법 클라우드 데이터 센터 전력 효율 개발,4
2025-03-05,정부는 지방 재정 지원 확대와 행정 개편 방안을 발표했다. 대통령은 국무회의에서 규제 완화와 산업 경쟁력 강화를 주문했다.,정치,정부 지방 재정 지원 행정 방안 대통령 국무 회의 규제 완화 산업 경쟁력 주문,2
2025-03-12,대학병원 연구팀은 새로운 항암 치료제의 임상 결과를 공개했다. 응급실 과밀 문제를 줄이기 위해 지역 의료 전달 체계가 개편된다.,건강,대학 병원 항암 치료제 임상 응급실 과밀 지역 의료 전달 체계,1
